ID,BOM
5001711,1
5001712,1
5001713,1
5001714,1
5001715,1
5001717,1
5001718,1
5001719,1
5001720,1
5001723,1
5001724,1
5001725,1
5001726,1
5001728,1
5001729,1
5001730,1
5001731,1
5001732,1
5001733,1
5001734,1
5001735,1
5001736,1
5001737,1
5001738,1
5001739,1
5001742,1
5001743,1
5001744,1
5001745,1
5001746,1
5001747,1
5001748,1
5001754,1
5001755,1
5001756,1
5001757,1
5001758,1
5001759,1
5001760,1
5001765,1
5001766,1
5001767,1
5001768,1
5001769,1
5001770,1
5001771,1
5001772,1
5001773,1
5001774,1
5001775,1
5001778,1
5001779,1
5001780,1
5001782,1
5001783,1
5001784,1
5001785,1
5001786,1
5001787,1
5001788,1
5001789,1
5001790,1
5001791,1
5001792,1
5001793,1
5001794,1
5001795,1
5001796,1
5001798,1
5001800,1
5001803,1
5001804,1
5001805,1
5001806,1
5001807,1
5001808,1
5001812,1
5001813,1
5001816,1
5001817,1
5001818,1
5001819,1
5001820,1
5001821,1
5001823,1
5001824,1
5001825,1
5001827,1
5001828,1
5001829,1
5001830,1
5001831,1
5001832,1
5001833,1
5001836,1
5001837,1
5001838,1
5001839,1
5001840,1
5001841,1
5001842,1
5001843,1
5001844,1
5001846,1
5001847,1
5001848,1
5001849,1
5001850,1
5001851,1
5001852,1
5001853,1
5001854,1
5001855,1
5001856,1
5001857,1
5001858,1
5001859,1
5001860,1
5001861,1
5001862,1
5001863,1
5001864,1
5001867,1
5001870,1
5001871,1
5001872,1
5001873,1
5001874,1
5001875,1
5001876,1
5001877,1
5001879,1
5001882,1
5001883,1
5001886,1
5001887,1
5001888,1
5001889,1
5001890,1
5001891,1
5001892,1
5001893,1
5001894,1
5001895,1
5001896,1
5001897,1
5001898,1
5001899,1
5001900,1
5001901,1
5001902,1
5001904,1
5001905,1
5001906,1
5001907,1
5001908,1
5001909,1
5001910,1
5001911,1
5001912,1
5001913,1
5001914,1
5001915,1
5001916,1
5001917,1
5001918,1
5001919,1
5001920,1
5001921,1
5001922,1
5001923,1
5001924,1
5001925,1
5001926,1
5001927,1
5001931,1
5001932,1
5001933,1
5001936,1
5001940,1
5001941,1
5001942,1
5001943,1
5001944,1
5001945,1
5001946,1
5001947,1
5001948,1
5001949,1
5001950,1
5001951,1
5001952,1
5001953,1
5001954,1
5001956,1
5001957,1
5001958,1
5001959,1
5001960,1
5001961,1
5001962,1
5001963,1
5001964,1
5001965,1
5001966,1
5001967,1
5001968,1
5001970,1
5001976,1
5001982,1
5001983,1
5001986,1
5001987,1
5001988,1
5001989,1
5001990,1
5001991,1
5001993,1
5001994,1
5001995,1
5001996,1
5001997,1
5001998,1
5001999,1
5002000,1
5002001,1
5002002,1
5002003,1
5002004,1
5002005,1
5002006,1
5002007,1
5002008,1
5002009,1
5002010,1
5002011,1
5002012,1
5002013,1
5002015,1
5002016,1
5002018,1
5002019,1
5002020,1
5002021,1
5002022,1
5002023,1
5002024,1
5002025,1
5002026,1
5002028,1
5002029,1
5002030,1
5002031,1
5002032,1
5002033,1
5002034,1
5002035,1
5002037,1
5002038,1
5002039,1
5002041,1
5002042,1
5002043,1
5002044,1
5002046,1
5002047,1
5002048,1
5002049,1
5002050,1
5002052,1
5002053,1
5002054,1
5002055,1
5002057,1
5002058,1
5002059,1
5002060,1
5002061,1
5002062,1
5002068,1
5002069,1
5002070,1
5002071,1
5002072,1
5002073,1
5002076,1
5002077,1
5002078,1
5002079,1
5002080,1
5002081,1
5002082,1
5002083,1
5002084,1
5002085,1
5002087,1
5002088,1
5002091,1
5002094,1
5002096,1
5002097,1
5002098,1
5002101,1
5002104,1
5002105,1
5002106,1
5002107,1
5002108,1
5002109,1
5002110,1
5002111,1
5002112,1
5002113,1
5002114,1
5002115,1
5002116,1
5002118,1
5002120,1
5002121,1
5002123,1
5002124,1
5002126,0
5002128,1
5002130,1
5002131,1
5002134,1
5002135,1
5002138,1
5002140,1
5002141,1
5002142,1
5002144,1
5002145,1
5002146,1
5002147,1
5002148,1
5002149,1
5002150,1
5002151,1
5002152,1
5002153,1
5002154,1
5002155,1
5002156,1
5002157,1
5002158,1
5002160,1
5002161,1
5002162,1
5002163,1
5002164,1
5002165,1
5002168,1
5002169,1
5002170,1
5002171,1
5002175,1
5002176,1
5002177,1
5002178,1
5002179,1
5002181,1
5002182,1
5002183,1
5002186,1
5002189,1
5002190,1
5002191,1
5002192,1
5002194,1
5002196,1
5002197,1
5002198,1
5002199,1
5002200,1
5002201,1
5002202,1
5002203,1
5002204,1
5002205,1
5002206,1
5002207,1
5002208,1
5002209,1
5002216,1
5002217,1
5002218,1
5002219,1
5002220,1
5002221,1
