ID,BOM_PAGADOR,BOM,GENERO,TEM_CARRO,IMOVEL_PROPRIO,N_FILHOS,RENDIMENTO_ANUAL,CAT_RENDA,ESCOLARIDADE,ESTADO_CIVIL,TIPO_RESIDENCIA,TEM_TELEFONE_FIXO,OCUPACAO,TAM_FAMILIA,IDADE,ANOS_EMPREGO
5008804,1.0,1,M,1,1,0,427500.0,Trabalhando,Ensino superior,Uniao estavel,Apartamento alugado,0,Outro,2.0,33,13
5008805,1.0,1,M,1,1,0,427500.0,Trabalhando,Ensino superior,Uniao estavel,Apartamento alugado,0,Outro,2.0,33,13
5008806,1.0,1,M,1,1,0,112500.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,Seguranca,2.0,59,4
5008808,1.0,1,F,0,1,0,270000.0,Associado comercial,Ensino medio,Solteiro,Casa/apartamento,1,Vendas,1.0,53,9
5008809,1.0,1,F,0,1,0,270000.0,Associado comercial,Ensino medio,Solteiro,Casa/apartamento,1,Vendas,1.0,53,9
5008810,1.0,1,F,0,1,0,270000.0,Associado comercial,Ensino medio,Solteiro,Casa/apartamento,1,Vendas,1.0,53,9
5008811,1.0,1,F,0,1,0,270000.0,Associado comercial,Ensino medio,Solteiro,Casa/apartamento,1,Vendas,1.0,53,9
5008812,1.0,1,F,0,1,0,283500.0,Pensionista,Ensino superior,Separado,Casa/apartamento,0,Outro,1.0,62,-1000
5008813,1.0,1,F,0,1,0,283500.0,Pensionista,Ensino superior,Separado,Casa/apartamento,0,Outro,1.0,62,-1000
5008814,1.0,1,F,0,1,0,283500.0,Pensionista,Ensino superior,Separado,Casa/apartamento,0,Outro,1.0,62,-1000
5008815,1.0,1,M,1,1,0,270000.0,Trabalhando,Ensino superior,Casado,Casa/apartamento,1,Contador,2.0,47,3
5008819,1.0,1,M,1,1,0,135000.0,Associado comercial,Ensino medio,Casado,Casa/apartamento,0,construcao civil,2.0,49,4
5008820,1.0,1,M,1,1,0,135000.0,Associado comercial,Ensino medio,Casado,Casa/apartamento,0,construcao civil,2.0,49,4
5008821,1.0,1,M,1,1,0,135000.0,Associado comercial,Ensino medio,Casado,Casa/apartamento,0,construcao civil,2.0,49,4
5008822,1.0,1,M,1,1,0,135000.0,Associado comercial,Ensino medio,Casado,Casa/apartamento,0,construcao civil,2.0,49,4
5008823,1.0,1,M,1,1,0,135000.0,Associado comercial,Ensino medio,Casado,Casa/apartamento,0,construcao civil,2.0,49,4
5008824,1.0,1,M,1,1,0,135000.0,Associado comercial,Ensino medio,Casado,Casa/apartamento,0,construcao civil,2.0,49,4
5008825,1.0,1,F,1,0,0,130500.0,Trabalhando,Superior incompleto,Casado,Casa/apartamento,0,Contador,2.0,30,3
5008826,1.0,1,F,1,0,0,130500.0,Trabalhando,Superior incompleto,Casado,Casa/apartamento,0,Contador,2.0,30,3
5008827,0.7631578947368421,0,M,1,1,0,180000.0,Pensionista,Ensino superior,Casado,Casa/apartamento,0,Outro,2.0,52,-1000
5008830,1.0,1,F,0,1,0,157500.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,1,construcao civil,2.0,28,4
5008831,1.0,1,F,0,1,0,157500.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,1,construcao civil,2.0,28,4
5008832,1.0,1,F,0,1,0,157500.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,1,construcao civil,2.0,28,4
5008834,1.0,1,F,0,1,1,112500.0,Trabalhando,Ensino medio,Solteiro,Casa/apartamento,0,Outro,2.0,31,5
5008835,1.0,1,F,0,1,1,112500.0,Trabalhando,Ensino medio,Solteiro,Casa/apartamento,0,Outro,2.0,31,5
5008836,1.0,1,M,1,1,3,270000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,construcao civil,5.0,35,4
5008837,1.0,1,M,1,1,3,270000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,construcao civil,5.0,35,4
5008838,1.0,1,M,0,1,1,405000.0,Associado comercial,Ensino superior,Casado,Casa/apartamento,0,Gerente,3.0,33,6
5008839,1.0,1,M,0,1,1,405000.0,Associado comercial,Ensino superior,Casado,Casa/apartamento,0,Gerente,3.0,33,6
5008840,1.0,1,M,0,1,1,405000.0,Associado comercial,Ensino superior,Casado,Casa/apartamento,0,Gerente,3.0,33,6
5008841,1.0,1,M,0,1,1,405000.0,Associado comercial,Ensino superior,Casado,Casa/apartamento,0,Gerente,3.0,33,6
5008842,1.0,1,M,0,1,1,405000.0,Associado comercial,Ensino superior,Casado,Casa/apartamento,0,Gerente,3.0,33,6
5008843,1.0,1,M,0,1,1,405000.0,Associado comercial,Ensino superior,Casado,Casa/apartamento,0,Gerente,3.0,33,6
5008844,1.0,1,M,1,1,0,112500.0,Associado comercial,Ensino medio,Casado,Casa/apartamento,1,Motorista,2.0,57,13
5008846,1.0,1,M,1,1,0,112500.0,Associado comercial,Ensino medio,Casado,Casa/apartamento,1,Motorista,2.0,57,13
5008847,1.0,1,M,1,1,0,112500.0,Associado comercial,Ensino medio,Casado,Casa/apartamento,1,Motorista,2.0,57,13
5008849,1.0,1,M,1,1,0,112500.0,Associado comercial,Ensino medio,Casado,Casa/apartamento,1,Motorista,2.0,57,13
5008850,1.0,1,M,1,1,0,112500.0,Associado comercial,Ensino medio,Casado,Casa/apartamento,1,Motorista,2.0,57,13
5008851,1.0,1,M,1,1,0,112500.0,Associado comercial,Ensino medio,Casado,Casa/apartamento,1,Motorista,2.0,57,13
5008852,1.0,1,M,1,1,0,112500.0,Associado comercial,Ensino medio,Casado,Casa/apartamento,1,Motorista,2.0,57,13
5008853,1.0,1,M,1,1,0,112500.0,Associado comercial,Ensino medio,Casado,Casa/apartamento,1,Motorista,2.0,57,13
5008854,1.0,1,F,1,1,2,135000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,construcao civil,4.0,44,9
5008855,1.0,1,F,1,1,2,135000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,construcao civil,4.0,44,9
5008856,1.0,1,F,1,1,2,135000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,construcao civil,4.0,44,9
5008857,1.0,1,F,1,1,2,135000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,construcao civil,4.0,44,9
5008858,1.0,1,F,1,1,2,135000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,construcao civil,4.0,44,9
5008859,1.0,1,F,1,1,2,135000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,construcao civil,4.0,44,9
5008860,1.0,1,F,1,1,2,135000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,construcao civil,4.0,44,9
5008861,1.0,1,F,1,1,2,135000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,construcao civil,4.0,44,9
5008862,1.0,1,F,1,1,2,135000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,construcao civil,4.0,44,9
5008863,1.0,1,F,1,1,2,135000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,construcao civil,4.0,44,9
5008864,1.0,1,F,1,1,2,135000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,construcao civil,4.0,44,9
5008865,1.0,1,F,1,1,2,135000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,construcao civil,4.0,44,9
5008866,1.0,1,F,1,1,2,135000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,construcao civil,4.0,44,9
5008867,1.0,1,F,1,1,2,135000.0,Trabalhando,Ensino medio,Casado,Casa/apartamento,0,construcao civil,4.0,44,9
5008868,1.0,1,F,0,1,1,211500.0,Servidor do Estado,Ensino medio,Uniao estavel,Casa/apartamento,0,Lider de equipe,3.0,45,20
5008870,1.0,1,F,0,1,1,211500.0,Servidor do Estado,Ensino medio,Uniao estavel,Casa/apartamento,0,Lider de equipe,3.0,45,20
5008872,1.0,1,M,1,1,0,360000.0,Associado comercial,Ensino medio,Casado,Casa/apartamento,1,Seguranca,2.0,46,15
5008873,1.0,1,F,0,1,2,126000.0,Associado comercial,Ensino superior,Casado,Casa/apartamento,0,Gerente,4.0,34,5
5008874,1.0,1,F,0,1,2,126000.0,Associado comercial,Ensino superior,Casado,Casa/apartamento,0,Gerente,4.0,34,5
5008875,1.0,1,F,0,1,2,126000.0,Associado comercial,Ensino superior,Casado,Casa/apartamento,0,Gerente,4.0,34,5
5008876,1.0,1,F,0,1,2,126000.0,Associado comercial,Ensino superior,Casado,Casa/apartamento,0,Gerente,4.0,34,5
5008877,1.0,1,F,0,1,2,126000.0,Associado comercial,Ensino superior,Casado,Casa/apartamento,0,Gerente,4.0,34,5
5008878,1.0,1,F,0,1,2,126000.0,Associado comercial,Ensino superior,Casado,Casa/apartamento,0,Gerente,4.0,34,5
5008879,1.0,1,F,0,1,2,126000.0,Associado comercial,Ensino superior,Casado,Casa/apartamento,0,Gerente,4.0,34,5
5008880,1.0,1,F,0,1,2,126000.0,Associado comercial,Ensino superior,Casado,Casa/apartamento,0,Gerente,4.0,34,5
5008881,1.0,1,F,0,1,2,126000.0,Associado comercial,Ensino superior,Casado,Casa/apartamento,0,Gerente,4.0,34,5
5008882,1.0,1,F,0,1,2,126000.0,Associado comercial,Ensino superior,Casado,Casa/apartamento,0,Gerente,4.0,34,5
5008884,1.0,1,F,0,1,0,315000.0,Pensionista,Ensino medio,Viúvo,Casa/apartamento,0,Outro,1.0,56,-1000
5008888,1.0,1,F,0,1,0,247500.0,Associado comercial,Ensino superior,Separado,Apartamento alugado,0,Lider de equipe,1.0,47,4
5008889,1.0,1,F,0,1,0,247500.0,Associado comercial,Ensino superior,Separado,Apartamento alugado,0,Lider de equipe,1.0,47,4
5008890,1.0,1,F,0,1,0,247500.0,Associado comercial,Ensino superior,Separado,Apartamento alugado,0,Lider de equipe,1.0,47,4
5008891,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
5008892,1.0,1,F,0,1,0,297000.0,Associado comercial,Ensino medio,Solteiro,Apartamento alugado,0,construcao civil,1.0,43,9
